Year1_Acct,Year1_W,Year2_Acct,Year2_W,Year3_Acct,Year3_W,Year4_Acct,Year4_W
17043,0.134976766,17038,0.003947112,20447,0.018932074,20447,0.037057015
21081,0.060587779,16198,0.037957092,15493,0.088639286,18243,0.043692364
16915,0.063474618,13009,0.036640219,17179,0.027567331,12969,0.0309462
19246,0.114991197,18905,0.089388522,12298,0.018693226,19083,0.027488551
14751,0,17130,0.055845081,16739,0.074030299,16739,0.119664912
19330,0.084790298,16789,0.042982893,12427,0.081915989,12716,0.027549757
12969,0.053401222,17164,0.108698101,16583,0.032887601,19246,0.038543957
16419,0.112637001,17466,0.058058253,11318,0.12020622,16267,0.086809231
17130,0.04535831,12804,0.093121373,19246,0.073504294,18046,0.044657146
11318,0.104588279,19083,0.11257704,16267,0.052914169,18292,0.067955378
17466,0.041137533,19246,0.116075127,13668,0.128129063,18894,0.112563279
17693,0.079024322,9983,0.114638576,19076,0.089976689,11318,0.21660732
12298,0.061678415,11318,0,17462,0.10389707,15111,0.074315548
16583,0.043354261,12298,0.130070613,18323,0.08870669,19201,0.072149341
