,Alpha,Beta,Alpha P-Value
18998,-0.01663013,0.571891825,0.016604347
17361,-0.003219595,0.228018665,0.312696188
2073,-0.006233474,-0.19022642,0.004350126
17517,-0.032506835,-0.181522569,0.003710201
16198,0.001762919,-0.030737685,0.660610333
19330,-0.003570929,0.339653996,0.44561552
13562,-0.002740446,0.02910905,0.597982981
15833,-0.006821647,-0.035534219,0.088609607
15485,-0.007021284,-0.041713395,0.079849463
15809,-0.007192601,-0.327444205,0.315810328
16954,-0.014197873,0.066515554,0.000296596
16739,-0.000458673,-0.211274597,0.92201801
12427,-0.004311681,0.648871934,0.341914382
14806,-0.003348683,0.07255826,0.076705393
18711,-0.015093875,0.158199354,0.031210602
15046,-0.004812241,-0.035835045,0.050175896
13671,-0.004955436,-0.009694704,0.005730652
21523,-0.005085783,-0.035776615,0.020384524
566,-0.006010395,0.221230684,0.023523696
13634,-0.006776155,0.358416638,0.005865666
24,-0.006964824,0.346356135,0.003522004
11029,-0.007369862,0.445006018,0.007691012
19044,-0.007891989,0.513387919,4.61E-07
17547,-0.006263183,-0.010326703,0.000189081
16746,-0.005468576,-0.289771876,0.01091988
17319,-0.010539438,0.157217579,0.001750092
18982,-0.008185321,0.051045871,1.70E-09
15682,-0.008751017,-0.303111926,0.02642921
17326,-0.011009986,0.144448603,8.92E-05
21289,-0.011999693,-0.105820703,1.23E-05
7681,-0.007985712,-0.134903236,0.000135511
87,-0.00857847,0.016400346,1.56E-06
13353,-0.007977978,-0.51900674,0.002934824
7563,-0.010096934,-0.193463533,6.58E-05
18670,-0.019595385,-0.892543207,0.001860781
19003,0.0372277,-1.439323502,0.18337776
18243,-0.002483048,0.123327258,0.519775528
17038,0.005964343,-0.559941107,0.849152656
18486,-0.006996694,-0.248475324,0.065437949
16874,-0.004066821,0.633353936,0.407109329
18414,-0.008222254,0.106485455,4.69E-05
15934,-0.00073357,-0.105585011,0.692411181
17967,-0.010590241,0.075226494,0.007448878
17239,-0.002161306,-0.055731881,0.110782574
17184,-0.005551814,-0.123236837,4.30E-05
16788,-0.003333166,-0.06840734,0.078008939
18081,-0.011026248,0.159314105,1.61E-10
17960,-0.017606995,0.980585052,1.68E-05
17898,-0.012903706,0.031957593,7.83E-06
16823,-0.00839881,0.720701281,0.061634058
17626,-0.013184062,-0.260632109,0.001683002
12284,-0.004643162,-0.084195242,0.068522795
17192,-0.004424283,-0.218048743,0.03585708
18085,-0.013338054,0.018524736,4.82E-10
14978,-0.006009611,-0.120252426,0.018070076
15144,-0.007425239,-0.21404066,0.00108658
14278,-0.013630721,0.649069936,0.000704386
17066,-0.011844505,-0.340759339,4.50E-06
17835,-0.032543583,0.358468352,0.000639579
17043,0.003054748,-0.411315262,0.33766912
18842,-0.010520051,-0.079939555,0.002648611
16339,-0.001490099,-0.027553903,0.536809669
18440,-0.011603892,-0.067147589,5.20E-15
18560,-0.004210102,0.007322468,0.003546685
16440,-0.00361221,-0.073710157,0.022141222
14924,-0.005062666,-0.111915798,0.000354386
11437,-0.00571875,-0.01624494,0.000253718
13494,-0.015536108,-0.215199328,0.001020338
16976,0.000307664,0.541674666,0.958492285
15142,-0.000542474,0.649053736,0.913980078
16089,-0.006521994,0.725977484,0.022942871
11251,-0.008478469,0.945450772,0.027115437
9724,-0.008813513,0.759909645,0.003117036
9863,-0.011514475,0.889643995,0.025634236
20447,0.012506071,0.619525657,0.091831507
21081,0.006864071,0.521148582,0.238309606
18876,-0.009137783,0.593560129,0.368475771
18584,-0.011780008,1.160596288,0.000739109
18591,-0.012059094,0.360041998,0.103045674
18942,-0.007157675,0.329015666,0.00932937
14624,-0.004964012,0.736787761,0.168059049
20442,-0.005380615,0.781013574,0.282682187
18934,-0.003850849,0.433862928,0.112260449
14332,-0.005209508,0.563266901,0.055581559
9695,-0.005032306,0.450331324,0.098621101
19300,-0.004953172,0.416741367,0.05033176
12917,-0.006802507,0.664839516,0.050449941
7686,-0.005683381,0.45789781,0.015911423
42,-0.006086853,0.506456608,0.027484122
14401,-0.00657763,0.571605281,0.012672025
8055,-0.004129056,0.205497044,0.346576078
7522,-0.005949479,0.266291012,0.0647449
18872,-0.011156911,0.169372044,0.001310894
13331,-0.007934555,0.538645524,0.136272411
15659,-0.013731623,1.35119063,0.079525172
17514,-0.006654234,0.279167728,0.267170332
7580,-0.009994938,0.720900447,0.005770188
162,-0.009341642,0.592265862,0.001608889
12804,-0.010410757,0.64474265,0.010117941
16336,-0.009324681,0.344986382,0.004348936
15666,-0.011088847,0.492157022,0.003520129
18614,-0.024963705,0.55215698,0.00015142
18512,-0.015565009,-0.054198891,0.000519465
18825,0.001310899,0.571812284,0.863339255
