,Date,Cumulative_Returns,EQ_Cumulative_Returns
0,1/1/2016,1.000516884,1.001528571
1,2/1/2016,0.988190045,0.994238874
2,3/1/2016,0.99258899,1.000083578
3,4/1/2016,0.988019515,0.995311751
4,5/1/2016,1.009137174,1.012751035
5,6/1/2016,1.009595059,1.010638726
6,7/1/2016,1.016231472,1.018312361
7,8/1/2016,1.018811187,1.019017906
8,9/1/2016,1.023495766,1.019148923
9,10/1/2016,1.02364182,1.019731293
10,11/1/2016,1.023896349,1.018012318
11,12/1/2016,1.028273135,1.024520325
12,1/1/2017,0.997754347,0.99885
13,2/1/2017,1.00429083,1.005214102
14,3/1/2017,1.000515642,1.001308127
15,4/1/2017,1.025649259,1.014668438
16,5/1/2017,1.02848321,1.018342987
17,6/1/2017,1.013655622,1.010625402
18,7/1/2017,1.012527577,1.007521339
19,8/1/2017,1.010448629,1.003570416
20,9/1/2017,1.005743025,1.000946796
21,10/1/2017,1.013543398,1.007367155
22,11/1/2017,1.015626334,1.0071369
23,12/1/2017,1.027094752,1.012453144
24,1/1/2018,1.015513505,1.017007143
25,2/1/2018,0.989397279,0.992620764
26,3/1/2018,0.982473531,0.981971361
27,4/1/2018,0.963892201,0.960557371
28,5/1/2018,0.939614461,0.933895043
29,6/1/2018,0.910238937,0.902409439
30,7/1/2018,0.900510663,0.890220466
31,8/1/2018,0.884376998,0.870578387
32,9/1/2018,0.874555775,0.858085587
33,10/1/2018,0.849723579,0.834328874
34,11/1/2018,0.823862416,0.808750735
35,12/1/2018,0.800289894,0.788451091
36,1/1/2019,0.988671509,0.981428572
37,2/1/2019,0.965350017,0.959886215
38,3/1/2019,0.952234193,0.95692428
39,4/1/2019,0.933344061,0.941141864
40,5/1/2019,0.910210245,0.923253446
41,6/1/2019,0.923286375,0.92852918
42,7/1/2019,0.895968937,0.908313773
43,8/1/2019,0.889792298,0.901936113
44,9/1/2019,0.852948797,0.866064826
45,10/1/2019,0.848056123,0.858115588
46,11/1/2019,0.830583672,0.852022967
47,12/1/2019,0.832072964,0.846825627
