,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
127,Equities,Specialist Equity,15493
6,Credit,Emerging Market Credit,13562
106,Equities,Event Driven,18506
155,Macro,Emerging Market Macro,16583
156,Macro,Emerging Market Macro,15363
4,Credit,Emerging Market Credit,16198
208,Relative Value,Diversified Relative Value,12781
163,Multi-Strategy,Diversified Multi-Strategy,19246
178,Other,Other Investments,11318
186,Quantitative,Directional Quantitative,14153
179,Other,Other Investments,12298
194,Quantitative,Non-Directional Quantitative,18046
173,Multi-Strategy,Diversified Multi-Strategy,13668
202,Relative Value,Diversified Relative Value,16267
