,Date,SPX Index,BCOM Index,MSEUEMEA Index,LGDRTRUU Index,HEDGDIST Index,MXEF Index
0,1-Jan-15,"2,059",104.0,271.0,236.0,768.0,956
1,2-Jan-15,"2,058",104.0,269.0,236.0,768.0,954
2,3-Jan-15,"2,058",104.0,269.0,236.0,768.0,954
3,4-Jan-15,"2,058",104.0,269.0,236.0,768.0,954
4,5-Jan-15,"2,021",104.0,264.0,236.0,768.0,941
5,6-Jan-15,"2,003",104.0,266.0,237.0,768.0,935
6,7-Jan-15,"2,026",104.0,267.0,236.0,768.0,941
7,8-Jan-15,"2,062",104.0,277.0,236.0,768.0,959
8,9-Jan-15,"2,045",104.0,274.0,237.0,768.0,961
9,10-Jan-15,"2,045",104.0,274.0,237.0,768.0,961
10,11-Jan-15,"2,045",104.0,274.0,237.0,768.0,961
11,12-Jan-15,"2,028",102.0,270.0,237.0,768.0,956
12,13-Jan-15,"2,023",101.0,273.0,237.0,768.0,960
13,14-Jan-15,"2,011",102.0,271.0,237.0,768.0,956
14,15-Jan-15,"1,993",102.0,270.0,237.0,768.0,960
15,16-Jan-15,"2,019",103.0,268.0,236.0,768.0,957
16,17-Jan-15,"2,019",103.0,268.0,236.0,768.0,957
17,18-Jan-15,"2,019",103.0,268.0,236.0,768.0,957
18,19-Jan-15,"2,019",103.0,269.0,237.0,768.0,953
19,20-Jan-15,"2,023",101.0,268.0,237.0,768.0,957
20,21-Jan-15,"2,032",103.0,275.0,237.0,768.0,976
21,22-Jan-15,"2,063",102.0,279.0,236.0,768.0,984
22,23-Jan-15,"2,052",101.0,281.0,236.0,768.0,991
23,24-Jan-15,"2,052",101.0,281.0,236.0,768.0,991
24,25-Jan-15,"2,052",101.0,281.0,236.0,768.0,991
25,26-Jan-15,"2,057",101.0,279.0,236.0,768.0,989
26,27-Jan-15,"2,030",101.0,278.0,237.0,768.0,990
27,28-Jan-15,"2,002",100.0,276.0,237.0,768.0,985
28,29-Jan-15,"2,021",99.0,273.0,237.0,768.0,973
29,30-Jan-15,"1,995",101.0,271.0,237.0,760.0,962
30,31-Jan-15,"1,995",101.0,271.0,237.0,760.0,962
31,1-Feb-15,"1,995",101.0,271.0,237.0,760.0,962
32,2-Feb-15,"2,021",101.0,275.0,237.0,760.0,964
33,3-Feb-15,"2,050",104.0,282.0,237.0,760.0,977
34,4-Feb-15,"2,042",102.0,279.0,237.0,760.0,981
35,5-Feb-15,"2,063",102.0,284.0,237.0,760.0,982
36,6-Feb-15,"2,055",103.0,283.0,236.0,760.0,979
37,7-Feb-15,"2,055",103.0,283.0,236.0,760.0,979
38,8-Feb-15,"2,055",103.0,283.0,236.0,760.0,979
39,9-Feb-15,"2,047",104.0,281.0,236.0,760.0,973
40,10-Feb-15,"2,069",102.0,278.0,235.0,760.0,967
41,11-Feb-15,"2,069",102.0,275.0,235.0,760.0,961
42,12-Feb-15,"2,088",103.0,282.0,236.0,760.0,971
43,13-Feb-15,"2,097",104.0,289.0,236.0,760.0,987
44,14-Feb-15,"2,097",104.0,289.0,236.0,760.0,987
45,15-Feb-15,"2,097",104.0,289.0,236.0,760.0,987
46,16-Feb-15,"2,097",104.0,287.0,236.0,760.0,984
47,17-Feb-15,"2,100",104.0,285.0,235.0,760.0,983
48,18-Feb-15,"2,100",103.0,286.0,235.0,760.0,985
49,19-Feb-15,"2,097",103.0,286.0,235.0,760.0,985
50,20-Feb-15,"2,110",103.0,287.0,235.0,760.0,984
51,21-Feb-15,"2,110",103.0,287.0,235.0,760.0,984
52,22-Feb-15,"2,110",103.0,287.0,235.0,760.0,984
53,23-Feb-15,"2,110",102.0,287.0,236.0,760.0,983
54,24-Feb-15,"2,115",102.0,288.0,236.0,760.0,988
55,25-Feb-15,"2,114",103.0,288.0,237.0,760.0,993
56,26-Feb-15,"2,111",102.0,288.0,236.0,760.0,994
57,27-Feb-15,"2,105",103.0,284.0,236.0,769.0,990
58,28-Feb-15,"2,105",103.0,284.0,236.0,769.0,990
59,1-Mar-15,"2,105",103.0,284.0,236.0,769.0,990
60,2-Mar-15,"2,117",102.0,282.0,235.0,769.0,988
61,3-Mar-15,"2,108",102.0,282.0,235.0,769.0,986
62,4-Mar-15,"2,099",102.0,277.0,234.0,769.0,976
63,5-Mar-15,"2,101",102.0,280.0,234.0,769.0,975
64,6-Mar-15,"2,071",101.0,275.0,231.0,769.0,971
65,7-Mar-15,"2,071",101.0,275.0,231.0,769.0,971
66,8-Mar-15,"2,071",101.0,275.0,231.0,769.0,971
67,9-Mar-15,"2,079",100.0,274.0,232.0,769.0,959
68,10-Mar-15,"2,044",99.0,264.0,232.0,769.0,944
69,11-Mar-15,"2,040",99.0,265.0,231.0,769.0,943
70,12-Mar-15,"2,066",99.0,267.0,231.0,769.0,949
71,13-Mar-15,"2,053",98.0,260.0,230.0,769.0,940
72,14-Mar-15,"2,053",98.0,260.0,230.0,769.0,940
73,15-Mar-15,"2,053",98.0,260.0,230.0,769.0,940
74,16-Mar-15,"2,081",97.0,260.0,231.0,769.0,941
75,17-Mar-15,"2,074",97.0,262.0,231.0,769.0,949
76,18-Mar-15,"2,100",98.0,264.0,232.0,769.0,957
77,19-Mar-15,"2,089",98.0,267.0,232.0,769.0,965
78,20-Mar-15,"2,108",100.0,273.0,234.0,769.0,970
79,21-Mar-15,"2,108",100.0,273.0,234.0,769.0,970
80,22-Mar-15,"2,108",100.0,273.0,234.0,769.0,970
81,23-Mar-15,"2,104",100.0,275.0,235.0,769.0,975
82,24-Mar-15,"2,092",100.0,278.0,235.0,769.0,978
83,25-Mar-15,"2,061",100.0,277.0,235.0,769.0,976
84,26-Mar-15,"2,056",101.0,272.0,234.0,769.0,962
85,27-Mar-15,"2,061",99.0,270.0,234.0,769.0,958
86,28-Mar-15,"2,061",99.0,270.0,234.0,769.0,958
87,29-Mar-15,"2,061",99.0,270.0,234.0,769.0,958
88,30-Mar-15,"2,086",99.0,273.0,234.0,769.0,969
89,31-Mar-15,"2,068",98.0,274.0,234.0,770.0,975
90,1-Apr-15,"2,060",100.0,278.0,234.0,770.0,983
91,2-Apr-15,"2,067",100.0,282.0,235.0,770.0,993
92,3-Apr-15,"2,067",100.0,282.0,235.0,770.0,994
93,4-Apr-15,"2,067",100.0,282.0,235.0,770.0,994
94,5-Apr-15,"2,067",100.0,282.0,235.0,770.0,994
95,6-Apr-15,"2,081",101.0,288.0,236.0,770.0,"1,006"
96,7-Apr-15,"2,076",101.0,288.0,235.0,770.0,"1,006"
97,8-Apr-15,"2,082",99.0,289.0,235.0,770.0,"1,021"
98,9-Apr-15,"2,091",99.0,290.0,234.0,770.0,"1,029"
99,10-Apr-15,"2,102",99.0,291.0,233.0,770.0,"1,035"
100,11-Apr-15,"2,102",99.0,291.0,233.0,770.0,"1,035"
101,12-Apr-15,"2,102",99.0,291.0,233.0,770.0,"1,035"
102,13-Apr-15,"2,092",99.0,289.0,233.0,770.0,"1,041"
103,14-Apr-15,"2,096",100.0,289.0,235.0,770.0,"1,037"
104,15-Apr-15,"2,107",101.0,289.0,234.0,770.0,"1,037"
105,16-Apr-15,"2,105",102.0,296.0,235.0,770.0,"1,052"
106,17-Apr-15,"2,081",102.0,288.0,236.0,770.0,"1,043"
107,18-Apr-15,"2,081",102.0,288.0,236.0,770.0,"1,043"
108,19-Apr-15,"2,081",102.0,288.0,236.0,770.0,"1,043"
109,20-Apr-15,"2,100",101.0,288.0,235.0,770.0,"1,034"
110,21-Apr-15,"2,097",101.0,291.0,235.0,770.0,"1,042"
111,22-Apr-15,"2,108",101.0,289.0,234.0,770.0,"1,048"
112,23-Apr-15,"2,113",102.0,292.0,235.0,770.0,"1,054"
113,24-Apr-15,"2,118",102.0,295.0,236.0,770.0,"1,061"
114,25-Apr-15,"2,118",102.0,295.0,236.0,770.0,"1,061"
115,26-Apr-15,"2,118",102.0,295.0,236.0,770.0,"1,061"
116,27-Apr-15,"2,109",102.0,298.0,236.0,770.0,"1,066"
117,28-Apr-15,"2,115",102.0,300.0,236.0,770.0,"1,067"
118,29-Apr-15,"2,107",103.0,300.0,236.0,770.0,"1,060"
119,30-Apr-15,"2,086",104.0,296.0,236.0,774.0,"1,048"
120,1-May-15,"2,108",103.0,295.0,235.0,774.0,"1,046"
121,2-May-15,"2,108",103.0,295.0,235.0,774.0,"1,046"
122,3-May-15,"2,108",103.0,295.0,235.0,774.0,"1,046"
123,4-May-15,"2,114",104.0,293.0,234.0,774.0,"1,048"
124,5-May-15,"2,089",105.0,297.0,234.0,774.0,"1,048"
125,6-May-15,"2,080",105.0,296.0,234.0,774.0,"1,040"
126,7-May-15,"2,088",103.0,292.0,234.0,774.0,"1,025"
127,8-May-15,"2,116",104.0,294.0,235.0,774.0,"1,035"
128,9-May-15,"2,116",104.0,294.0,235.0,774.0,"1,035"
129,10-May-15,"2,116",104.0,294.0,235.0,774.0,"1,035"
130,11-May-15,"2,105",103.0,292.0,233.0,774.0,"1,036"
131,12-May-15,"2,099",105.0,293.0,234.0,774.0,"1,029"
132,13-May-15,"2,098",105.0,298.0,234.0,774.0,"1,034"
133,14-May-15,"2,121",105.0,297.0,235.0,774.0,"1,036"
134,15-May-15,"2,123",105.0,300.0,236.0,774.0,"1,043"
135,16-May-15,"2,123",105.0,300.0,236.0,774.0,"1,043"
