,SPX Index,BCOM Index,MSEUEMEA Index,LGDRTRUU Index,HEDGDIST Index,MXEF Index
15-Jan,-0.03108305,-0.028846154,0,0.004237288,-0.010416667,0.006276151
15-Feb,0.055137845,0.01980198,0.04797048,-0.004219409,0.011842105,0.029106029
15-Mar,-0.017577197,-0.048543689,-0.035211268,-0.008474576,0.00130039,-0.015151515
15-Apr,0.012621359,0.04,0.064748201,0.008547009,0.005194805,0.06612411
15-May,-0.000474383,-0.019417476,-0.061016949,-0.008510638,0.002583979,-0.040152964
15-Jun,-0.023200758,0.01980198,0.010948905,-0.004329004,-0.011597938,-0.030907278
15-Jul,0.012999519,-0.098039216,-0.04379562,0.004347826,-0.007822686,-0.072016461
15-Aug,-0.062737643,-0.010869565,-0.072519084,-0.004329004,-0.014454665,-0.092017738
15-Sep,0.003134796,-0.011235955,-0.025423729,0,-0.013333333,-0.011235955
15-Oct,0.080561331,0,0.047619048,0.004347826,-0.002702703,0.062656642
15-Nov,0.000481,-0.068965517,-0.061983471,-0.008658009,-0.008130081,-0.04009434
15-Dec,-0.028055159,-0.036585366,-0.074889868,-0.008695652,-0.006830601,-0.037575758
16-Jan,-0.050880626,-0.025316456,-0.042857143,0.004385965,-0.013755158,-0.065491184
16-Feb,-0.003610108,0,0.025,0.008733624,-0.011157601,-0.004037685
16-Mar,0.041456016,0.039473684,0.129186603,0.039130435,0.005641749,0.111553785
16-Apr,-0.003859141,0.102564103,0.056277056,0.012605042,0.01542777,0.016949153
16-May,0.015496368,-0.011627907,-0.081967213,-0.004149378,0.008287293,-0.039285714
16-Jun,0,0.034883721,0.03125,0.0125,-0.004109589,0.033457249
16-Jul,0.033761293,-0.066666667,0.043103448,0.012295082,0.011004127,0.040524434
16-Aug,0,0,-0.032921811,0.004065041,0.00952381,0.012457531
16-Sep,-0.001381852,0.036585366,0.02991453,-0.004032258,0.006738544,0.013468013
16-Oct,-0.019372694,0,0,-0.016194332,0.010709505,0.002214839
16-Nov,0.041193182,0.011764706,-0.049792531,-0.028806584,0.010596026,-0.044296788
16-Dec,0.021907805,0.011494253,0.074561404,0.004255319,0.01310616,0.004662005
17-Jan,0.017865118,0,0.020408163,0.012711864,0.012936611,0.054524362
17-Feb,0.036842105,-0.011235955,-0.003984064,0.008403361,0.008939974,0.025191676
17-Mar,-0.013772955,-0.034090909,-0.011857708,0.0041841,0.001265823,0.021321962
17-Apr,0.008887008,-0.011764706,0.04,0.016666667,0.01011378,0.020876827
17-May,0.010050251,-0.011904762,0,0.020576132,0.005006258,0.025510204
17-Jun,-0.002880658,0.012195122,-0.026923077,0.008097166,0.00124533,0.00297619
17-Jul,0.019397441,0.012048193,0.051383399,0.016064257,0.006218905,0.054401583
17-Aug,-0.001615509,0.011904762,0.045112782,0.007905138,0.002472188,0.01777362
17-Sep,0.016955995,-0.011764706,-0.046594982,-0.003921569,0.006165228,-0.008249313
17-Oct,0.022231044,0.023809524,0.007518797,0,0.004901961,0.034195933
17-Nov,0.026754556,-0.011494253,0.022140221,0.007874016,-0.003658537,-0.007085917
17-Dec,0.012112036,0.023255814,0.080291971,0.0078125,0.015911873,0.037634409
18-Jan,0.056095737,0.022727273,0.060810811,0.003875969,0.013253012,0.083765112
18-Feb,-0.03827073,-0.022222222,-0.01910828,-0.015444015,-0.005945303,-0.043234588
18-Mar,-0.013816281,-0.011363636,-0.045901639,0.003921569,-0.003588517,-0.01761745
18-Apr,0.002650511,0.034482759,-0.024054983,-0.01171875,0,-0.005977797
18-May,0.018832392,0.02247191,-0.046428571,-0.003968254,-0.00120048,-0.035283993
18-Jun,-0.006215722,-0.033333333,-0.040740741,0,0.006009615,-0.053097345
18-Jul,0.036055923,-0.022988506,0.042471042,0.004,0.009557945,0.01588785
18-Aug,0.03163882,0,-0.074349442,0.003984064,0,-0.028518859
18-Sep,0.004135079,0.011904762,0.012048193,-0.003968254,-0.001183432,-0.007575758
18-Oct,-0.072820513,-0.034883721,-0.071428571,-0.015936255,-0.009478673,-0.086042065
18-Nov,0.00729927,-0.011904762,0.020833333,-0.004048583,-0.003588517,0.024716787
18-Dec,-0.091666667,-0.072289157,-0.020408163,0.012195122,-0.019207683,-0.029145729
19-Jan,0.078579976,0.051948052,0.108333333,0.024096386,0.011015912,0.086956522
19-Feb,0.028444773,0,-0.026515152,0.003937008,0.010895884,0.000952381
19-Mar,0.010699001,0,-0.011764706,0.015686275,-0.001197605,0.005703422
19-Apr,0.027554935,-0.012195122,0.027237354,0.007751938,0.021582734,0.008411215
19-May,-0.058823529,-0.025,-0.037878788,0.007692308,-0.015258216,-0.075925926
19-Jun,0.069040698,0.025641026,0.051181102,0.026717557,0.009535161,0.057114228
19-Jul,0.005398111,0,-0.025925926,0.003731343,-0.015348288,-0.02537594
19-Aug,-0.009478673,0,-0.061538462,0.018587361,-0.01558753,-0.04
19-Sep,0.017429938,0.012987013,0.004098361,-0.00729927,-0.004872107,0.017276423
19-Oct,0.033333333,0.012820513,0.028688525,0.011029412,0.003671971,0.044088176
19-Nov,0.024127812,-0.0375,-0.007905138,-0.003636364,-0.002439024,-0.0085796
19-Dec,0.028653295,0.051948052,0.067729084,0.00729927,0.012224939,0.072115385
20-Jan,-0.001547509,-0.074074074,-0.04494382,0.014492754,0.006038647,-0.047533632
20-Feb,-0.084314941,-0.053333333,-0.121568627,0.007142857,-0.013205282,-0.052730697
20-Mar,-0.124915369,-0.126760563,-0.21875,-0.067375887,-0.100973236,-0.156063618
20-Apr,0.178470255,0.016666667,0.115606936,0.041825095,0.027063599,0.118500605
20-May,0.075238432,0.049180328,0.047120419,0.01459854,0.009222661,0.014176663
20-Jun,0.014397906,0.015625,0.009756098,0.017985612,0.018276762,0.046267087
20-Jul,0.049743261,0.061538462,0.019230769,0.038732394,-0.002564103,0.077922078
20-Aug,0.070009172,0.057971014,0.009433962,-0.003389831,0.019280206,0.021316033
20-Sep,-0.046498441,-0.040540541,-0.032407407,-0.010169492,-0.007566204,-0.033928571
20-Oct,-0.032830524,0.028571429,-0.04784689,0,-0.001270648,0.016589862
20-Nov,0.10764526,0.027777778,0.140703518,0.02739726,0.06870229,0.092475068
20-Dec,0.025669033,0.04,0.043290043,0.013333333,0.023809524,0.054738562
21-Jan,-0.011182109,0.025641026,0.012448133,-0.009868421,0.002325581,0.029411765
21-Feb,0.009803922,0.036585366,0.020576132,-0.013289037,0.034802784,-0.016164585
21-Mar,0.018195797,-0.023529412,0.023715415,-0.016891892,0.023542601,-0.033773862
21-Apr,0.040049751,0.071428571,0.011494253,0.010273973,0.017524644,0.009737828
21-May,0.005501076,0.033333333,0.053030303,0.010169492,0.013993541,0.020771513
21-Jun,0.022846264,0.010638298,-0.017857143,0,0.007430998,-0.011502516
21-Jul,0.017361111,0.010526316,-0.003636364,0.013422819,-0.008429926,-0.065789474
21-Aug,0.029124005,0,0.032846715,-0.006622517,0.005313496,0.024256651
21-Sep,-0.047745358,0.052083333,-0.003508772,-0.016611296,0.011627907,-0.044969512
21-Oct,0.056919899,0.01980198,0.024647887,0,0.011494253,0.014434643
21-Nov,-0.010186389,-0.076923077,-0.072164948,-0.006779661,0,-0.041897233
