,0,Funds,HF Ret
0,45,18998,48
1,0,17361,3
2,0,2073,3
3,18,17517,21
4,0,16198,3
5,0,19330,3
6,0,13562,3
7,0,15833,3
8,0,15485,3
9,0,15809,3
10,7,16954,10
11,5,16739,8
12,0,12427,3
13,0,14806,3
14,42,18711,45
15,0,15046,3
16,0,13671,3
17,0,21523,3
18,0,566,3
19,0,13634,3
20,0,24,3
21,0,11029,3
22,0,19044,3
23,0,17547,3
24,0,16746,3
25,14,17319,17
26,0,18982,3
27,0,15682,3
28,0,17326,3
29,32,21289,35
30,0,7681,3
31,0,87,3
32,0,13353,3
33,0,7563,3
34,31,18670,34
35,51,19003,54
36,35,18243,38
37,12,17038,15
38,46,18486,49
39,11,16874,14
40,29,18414,32
41,0,15934,3
42,33,17967,36
43,0,17239,3
44,14,17184,17
45,1,16788,4
46,25,18081,28
47,36,17960,39
48,32,17898,35
49,5,16823,8
50,35,17626,38
51,0,12284,3
52,0,17192,3
53,31,18085,34
54,0,14978,3
55,0,15144,3
56,0,14278,3
57,9,17066,12
58,26,17835,29
59,0,17043,3
60,50,18842,53
61,0,16339,3
62,33,18440,36
63,4,18560,7
64,0,16440,3
65,0,14924,3
66,0,11437,3
67,0,13494,3
68,0,16976,3
69,0,15142,3
70,0,16089,3
71,0,11251,3
72,0,9724,3
73,0,9863,3
74,18,20447,21
75,0,21081,3
76,52,18876,55
77,24,18584,27
78,42,18591,45
79,23,18942,26
80,0,14624,3
81,0,20442,3
82,0,18934,3
83,0,14332,3
84,0,9695,3
85,0,19300,3
86,0,12917,3
87,0,7686,3
88,0,42,3
89,0,14401,3
90,0,8055,3
91,0,7522,3
92,22,18872,25
93,0,13331,3
94,0,15659,3
95,0,17514,3
96,0,7580,3
97,0,162,3
98,0,12804,3
99,0,16336,3
100,0,15666,3
101,42,18614,45
102,28,18512,31
103,50,18825,53
104,0,15589,3
105,0,11561,3
106,0,18506,3
107,0,14331,3
108,0,12595,3
109,0,16470,3
110,0,17974,3
111,0,7676,3
112,0,17331,3
113,0,11947,3
114,0,11765,3
115,0,13805,3
116,0,11480,3
117,36,18363,39
118,52,18814,55
119,0,16915,3
120,0,12312,3
121,28,20990,31
122,0,20708,3
123,0,508,3
124,0,15533,3
125,0,19083,3
126,0,20961,3
127,0,15493,3
128,0,15997,3
129,0,11499,3
130,24,17825,27
131,31,18256,34
132,0,13465,3
133,0,15787,3
134,0,15530,3
135,0,17833,3
136,0,13870,3
137,0,18351,3
138,0,1793,3
139,12,17752,15
140,0,15579,3
141,0,14820,3
142,36,18353,39
143,0,12598,3
144,0,12190,3
145,0,12969,3
146,34,19201,37
147,9,17164,12
148,0,15298,3
149,0,9939,3
150,0,9992,3
151,47,18708,50
152,26,17784,29
153,0,14311,3
154,0,13683,3
155,0,16583,3
156,0,15363,3
157,0,13152,3
158,9,17179,12
159,0,15853,3
160,36,18252,39
161,0,14490,3
162,0,16789,3
163,0,19246,3
164,0,14751,3
165,0,15111,3
166,0,46,3
167,0,9699,3
168,0,44,3
169,0,13009,3
170,0,7693,3
171,0,1786,3
172,0,15132,3
173,0,13668,3
174,0,126,3
175,0,15616,3
176,0,9806,3
177,0,18696,3
178,0,11318,3
179,0,12298,3
180,0,12716,3
181,0,12379,3
182,30,12214,33
183,0,11795,3
184,0,12307,3
185,0,17130,3
186,0,14153,3
187,0,15848,3
188,0,15035,3
189,0,12276,3
190,21,18111,24
191,43,18762,46
192,0,17466,3
193,15,17462,18
194,12,18046,15
195,0,18292,3
196,0,18323,3
197,0,17822,3
198,36,18334,39
199,50,19058,53
200,26,19218,29
201,0,9869,3
202,0,16267,3
203,0,84,3
204,0,18905,3
205,0,17693,3
206,0,18894,3
207,0,19076,3
208,0,12781,3
209,0,7107,3
210,0,9983,3
211,41,18463,44
212,0,68,3
213,0,16964,3
214,0,13905,3
215,0,18661,3
