Year1_Acct,Year1_W,Year2_Acct,Year2_W,Year3_Acct,Year3_W,Year4_Acct,Year4_W
14924,0,15934,0.035957029,15493,0.066478304,20447,0.040212021
17239,0,16788,0.000113018,13562,0.075028516,18243,0.082368926
16915,0.047902487,18905,0.079907838,18506,0.152482728,12716,0.049789401
21081,0.042206719,17164,0.082607656,16583,0.025242718,19083,0.08119537
19246,0.054845678,17693,0.115765507,15363,0.026897728,12969,0.049733474
19076,0.114695672,1786,0.304650246,16198,0.060235787,16739,0
84,0.103516104,13009,0.051255836,12781,0.228017011,19246,0.090188011
15111,0.115505852,12969,0.065776462,19246,0.090672391,18046,0.112856476
18323,0.094580517,18934,0.056601209,11318,0.07525967,126,0.039300341
12969,0.031168491,17130,0.050382509,14153,0.031162282,16267,0.130685594
11795,0.124259282,12804,0.028831505,12298,0.015006757,18292,0.082710655
15853,0.160964431,17466,0.048236653,18046,0,15298,0.098026723
11318,0.04327161,11318,0,13668,0.086294023,16419,0.101863261
17130,0.067083155,12298,0.079914529,16267,0.067222084,12379,0.041069748
