,4,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
68,0.65126904488824,Equities,Activism,16976
74,0.5569974393571137,Equities,Directional Equity,20447
35,0.48055971354085775,Credit,Specialist Credit,19003
191,0.2017191471965107,Quantitative,Non-Directional Quantitative,18762
186,0.18459412825236474,Quantitative,Directional Quantitative,14153
202,0.1471838481566133,Relative Value,Diversified Relative Value,16267
209,0.13052949227682556,Relative Value,Diversified Relative Value,7107
37,0.0772508878651504,Credit,Specialist Credit,17038
174,-0.08683755389356826,Multi-Strategy,Diversified Multi-Strategy,126
162,-0.09144887969961993,Macro,Specialist Macro,16789
146,-0.13250048607483558,Macro,Diversified Macro,19201
181,-0.14372452954929063,Other,Other Investments,12379
182,-0.259861414161216,Other,Other Investments,12214
170,-0.4749759777017779,Multi-Strategy,Diversified Multi-Strategy,7693
